questionId,title,difficulty,dislikes,likes,nAccepted,nSubmissions,accRate,topicTags,similarQuestions
306,Additive Number,Medium,551,577,61.9K,207K,29.9%,"['Backtracking', 'String']","[('Split Array into Fibonacci Sequence', 'Medium')]"
307,Range Sum Query - Mutable,Medium,120,2157,154.4K,408.6K,37.8%,"['Array', 'Binary Indexed Tree', 'Design', 'Segment Tree']","[('Range Sum Query - Immutable', 'Easy'), ('Range Sum Query 2D - Mutable', 'Hard')]"
308,Range Sum Query 2D - Mutable,Hard,68,553,58.6K,149.9K,39.1%,"['Array', 'Binary Indexed Tree', 'Design', 'Matrix', 'Segment Tree']","[('Range Sum Query - Mutable', 'Medium'), ('Range Sum Query 2D - Immutable', 'Medium')]"
309,Best Time to Buy and Sell Stock with Cooldown,Medium,128,3891,201.2K,411.1K,48.9%,"['Array', 'Dynamic Programming']","[('Best Time to Buy and Sell Stock', 'Easy'), ('Best Time to Buy and Sell Stock II', 'Easy')]"
310,Minimum Height Trees,Medium,139,3354,141.4K,400.2K,35.3%,"['Breadth-First Search', 'Depth-First Search', 'Graph', 'Topological Sort']","[('Course Schedule', 'Medium'), ('Course Schedule II', 'Medium')]"
311,Sparse Matrix Multiplication,Medium,255,670,130.1K,201.5K,64.6%,"['Array', 'Hash Table', 'Matrix']",[]
312,Burst Balloons,Hard,116,3853,140.2K,258.5K,54.2%,"['Array', 'Dynamic Programming']","[('Minimum Cost to Merge Stones', 'Hard')]"
313,Super Ugly Number,Medium,176,967,90.7K,193.2K,46.9%,"['Array', 'Dynamic Programming', 'Hash Table', 'Heap (Priority Queue)', 'Math']","[('Ugly Number II', 'Medium')]"
314,Binary Tree Vertical Order Traversal,Medium,208,1561,171.6K,358.1K,47.9%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Hash Table', 'Tree']","[('Binary Tree Level Order Traversal', 'Medium')]"
315,Count of Smaller Numbers After Self,Hard,122,4124,190.3K,453K,42.0%,"['Array', 'Binary Indexed Tree', 'Binary Search', 'Divide and Conquer', 'Merge Sort', 'Ordered Set', 'Segment Tree']","[('Count of Range Sum', 'Hard'), ('How Many Numbers Are Smaller Than the Current Number', 'Easy'), ('Queue Reconstruction by Height', 'Medium'), ('Reverse Pairs', 'Hard')]"
316,Remove Duplicate Letters,Medium,204,2815,126.9K,318.4K,39.9%,"['Greedy', 'Monotonic Stack', 'Stack', 'String']",[]
317,Shortest Distance from All Buildings,Hard,67,1073,96.3K,221.5K,43.5%,"['Array', 'Breadth-First Search', 'Matrix']","[('As Far from Land as Possible', 'Medium'), ('Best Meeting Point', 'Hard'), ('Walls and Gates', 'Medium')]"
318,Maximum Product of Word Lengths,Medium,87,1369,129.9K,234.2K,55.4%,"['Array', 'Bit Manipulation', 'String']",[]
319,Bulb Switcher,Medium,1305,678,96.2K,209.8K,45.8%,"['Brainteaser', 'Math']","[('Bulb Switcher II', 'Medium'), ('Bulb Switcher III', 'Medium'), ('Minimum Number of K Consecutive Bit Flips', 'Hard')]"
320,Generalized Abbreviation,Medium,152,524,54.6K,100.3K,54.4%,"['Backtracking', 'Bit Manipulation', 'String']","[('Minimum Unique Word Abbreviation', 'Hard'), ('Subsets', 'Medium'), ('Unique Word Abbreviation', 'Medium')]"
321,Create Maximum Number,Hard,281,1023,45K,162.2K,27.8%,"['Greedy', 'Monotonic Stack', 'Stack']","[('Maximum Swap', 'Medium'), ('Remove K Digits', 'Medium')]"
322,Coin Change,Medium,207,7514,686.9K,1.8M,38.3%,"['Array', 'Breadth-First Search', 'Dynamic Programming']","[('Minimum Cost For Tickets', 'Medium')]"
323,Number of Connected Components in an Undirected Graph,Medium,41,1370,165.8K,281.7K,58.9%,"['Breadth-First Search', 'Depth-First Search', 'Graph', 'Union Find']","[('Graph Valid Tree', 'Medium'), ('Number of Islands', 'Medium'), ('Number of Provinces', 'Medium')]"
324,Wiggle Sort II,Medium,695,1531,102.8K,330.5K,31.1%,"['Array', 'Divide and Conquer', 'Quickselect', 'Sorting']","[('Kth Largest Element in an Array', 'Medium'), ('Sort Colors', 'Medium'), ('Wiggle Sort', 'Medium')]"
325,Maximum Size Subarray Sum Equals k,Medium,39,1271,126.7K,264.2K,47.9%,"['Array', 'Hash Table']","[('Contiguous Array', 'Medium'), ('Minimum Size Subarray Sum', 'Medium'), ('Range Sum Query - Immutable', 'Easy'), ('Subarray Product Less Than K', 'Medium')]"
326,Power of Three,Easy,42,306,367.6K,863.9K,42.6%,"['Math', 'Recursion']","[('Check if Number is a Sum of Powers of Three', 'Medium'), ('Power of Four', 'Easy'), ('Power of Two', 'Easy')]"
327,Count of Range Sum,Hard,129,1163,52.2K,144K,36.2%,"['Array', 'Binary Indexed Tree', 'Binary Search', 'Divide and Conquer', 'Merge Sort', 'Ordered Set', 'Segment Tree']","[('Count of Smaller Numbers After Self', 'Hard'), ('Reverse Pairs', 'Hard')]"
328,Odd Even Linked List,Medium,346,3455,398K,689.7K,57.7%,['Linked List'],"[('Split Linked List in Parts', 'Medium')]"
329,Longest Increasing Path in a Matrix,Hard,61,3625,240.8K,510.1K,47.2%,"['Breadth-First Search', 'Depth-First Search', 'Dynamic Programming', 'Graph', 'Memoization', 'Topological Sort']",[]
330,Patching Array,Hard,86,670,40.4K,114.4K,35.3%,"['Array', 'Greedy']","[('Maximum Number of Consecutive Values You Can Make', 'Medium')]"
331,Verify Preorder Serialization of a Binary Tree,Medium,61,1043,82.7K,199.8K,41.4%,"['Binary Tree', 'Stack', 'String', 'Tree']",[]
332,Reconstruct Itinerary,Medium,1337,2935,223.6K,577.5K,38.7%,"['Depth-First Search', 'Eulerian Circuit', 'Graph']","[('Longest Common Subpath', 'Hard')]"
333,Largest BST Subtree,Medium,85,907,66K,169K,39.0%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Dynamic Programming', 'Tree']",[]
334,Increasing Triplet Subsequence,Medium,171,2667,212.7K,518.7K,41.0%,"['Array', 'Greedy']","[('Longest Increasing Subsequence', 'Medium')]"
335,Self Crossing,Hard,418,192,25.7K,89.1K,28.8%,"['Array', 'Geometry', 'Math']",[]
336,Palindrome Pairs,Hard,199,2178,132.6K,368.2K,36.0%,"['Array', 'Hash Table', 'String', 'Trie']","[('Longest Palindromic Substring', 'Medium'), ('Shortest Palindrome', 'Hard')]"
337,House Robber III,Medium,71,4370,219.9K,421.6K,52.2%,"['Binary Tree', 'Depth-First Search', 'Dynamic Programming', 'Tree']","[('House Robber', 'Medium'), ('House Robber II', 'Medium')]"
338,Counting Bits,Easy,225,4366,382.7K,537.6K,71.2%,"['Bit Manipulation', 'Dynamic Programming']","[('Number of 1 Bits', 'Easy')]"
339,Nested List Weight Sum,Medium,224,881,130.4K,168.3K,77.5%,"['Breadth-First Search', 'Depth-First Search']","[('Array Nesting', 'Medium'), ('Employee Importance', 'Easy'), ('Nested List Weight Sum II', 'Medium')]"
340,Longest Substring with At Most K Distinct Characters,Medium,60,1736,210.4K,456K,46.1%,"['Hash Table', 'Sliding Window', 'String']","[('Longest Repeating Character Replacement', 'Medium'), ('Longest Substring Without Repeating Characters', 'Medium'), ('Longest Substring with At Most Two Distinct Characters', 'Medium'), ('Max Consecutive Ones III', 'Medium'), ('Subarrays with K Different Integers', 'Hard')]"
341,Flatten Nested List Iterator,Medium,891,2461,237.3K,419.6K,56.6%,"['Depth-First Search', 'Design', 'Iterator', 'Queue', 'Stack', 'Tree']","[('Array Nesting', 'Medium'), ('Flatten 2D Vector', 'Medium'), ('Mini Parser', 'Medium'), ('Zigzag Iterator', 'Medium')]"
342,Power of Four,Easy,261,958,238.7K,566.1K,42.2%,"['Bit Manipulation', 'Math', 'Recursion']","[('Power of Three', 'Easy'), ('Power of Two', 'Easy')]"
343,Integer Break,Medium,277,1815,141.9K,274.7K,51.6%,"['Dynamic Programming', 'Math']","[('Maximize Number of Nice Divisors', 'Hard')]"
344,Reverse String,Easy,798,2625,1.1M,1.5M,71.4%,"['Recursion', 'String', 'Two Pointers']","[('Reverse String II', 'Easy'), ('Reverse Vowels of a String', 'Easy')]"
345,Reverse Vowels of a String,Easy,1553,1136,291.1K,637K,45.7%,"['String', 'Two Pointers']","[('Remove Vowels from a String', 'Easy'), ('Reverse String', 'Easy')]"
346,Moving Average from Data Stream,Easy,94,928,195.3K,262.8K,74.3%,"['Array', 'Data Stream', 'Design', 'Queue']",[]
347,Top K Frequent Elements,Medium,286,5443,625K,991.6K,63.0%,"['Array', 'Bucket Sort', 'Counting', 'Divide and Conquer', 'Hash Table', 'Heap (Priority Queue)', 'Quickselect', 'Sorting']","[('K Closest Points to Origin', 'Medium'), ('Kth Largest Element in an Array', 'Medium'), ('Sort Characters By Frequency', 'Medium'), ('Sort Features by Popularity', 'Medium'), ('Split Array into Consecutive Subsequences', 'Medium'), ('Top K Frequent Words', 'Medium'), ('Word Frequency', 'Medium')]"
348,Design Tic-Tac-Toe,Medium,77,1239,139.9K,248.1K,56.4%,"['Array', 'Design', 'Hash Table', 'Matrix']","[('Valid Tic-Tac-Toe State', 'Medium')]"
349,Intersection of Two Arrays,Easy,1623,1604,508.4K,766.9K,66.3%,"['Array', 'Binary Search', 'Hash Table', 'Sorting', 'Two Pointers']","[('Intersection of Three Sorted Arrays', 'Easy'), ('Intersection of Two Arrays II', 'Easy')]"
350,Intersection of Two Arrays II,Easy,539,2468,532.8K,1M,52.6%,"['Array', 'Binary Search', 'Hash Table', 'Sorting', 'Two Pointers']","[('Find Common Characters', 'Easy'), ('Intersection of Two Arrays', 'Easy')]"
351,Android Unlock Patterns,Medium,5,7,55K,109.8K,50.1%,"['Backtracking', 'Dynamic Programming']",[]
352,Data Stream as Disjoint Intervals,Hard,122,499,44K,89.5K,49.2%,"['Binary Search', 'Design', 'Ordered Set']","[('Find Right Interval', 'Medium'), ('Range Module', 'Hard'), ('Summary Ranges', 'Easy')]"
353,Design Snake Game,Medium,225,576,49.2K,133.9K,36.8%,"['Array', 'Design', 'Matrix', 'Queue']",[]
354,Russian Doll Envelopes,Hard,62,2264,110.7K,288.2K,38.4%,"['Array', 'Binary Search', 'Dynamic Programming', 'Sorting']","[('Longest Increasing Subsequence', 'Medium')]"
355,Design Twitter,Medium,242,1441,69.4K,213.8K,32.5%,"['Design', 'Hash Table', 'Heap (Priority Queue)', 'Linked List']","[('Design a File Sharing System', 'Medium')]"
356,Line Reflection,Medium,425,180,28K,83.8K,33.4%,"['Array', 'Hash Table', 'Math']","[('Max Points on a Line', 'Hard'), ('Number of Boomerangs', 'Medium')]"
357,Count Numbers with Unique Digits,Medium,1065,654,91K,184.3K,49.4%,"['Backtracking', 'Dynamic Programming', 'Math']",[]
358,Rearrange String k Distance Apart,Hard,26,605,44.4K,123.3K,36.0%,"['Counting', 'Greedy', 'Hash Table', 'Heap (Priority Queue)', 'Sorting', 'String']","[('Reorganize String', 'Medium'), ('Task Scheduler', 'Medium')]"
359,Logger Rate Limiter,Easy,148,842,159.2K,217.4K,73.2%,"['Design', 'Hash Table']","[('Design Hit Counter', 'Medium')]"
360,Sort Transformed Array,Medium,124,427,42.1K,83.2K,50.6%,"['Array', 'Math', 'Sorting', 'Two Pointers']","[('Squares of a Sorted Array', 'Easy')]"
361,Bomb Enemy,Medium,82,616,54.7K,114.6K,47.7%,"['Array', 'Dynamic Programming', 'Matrix']",[]
362,Design Hit Counter,Medium,105,1140,125.5K,190K,66.0%,"['Array', 'Binary Search', 'Design', 'Hash Table', 'Queue']","[('Logger Rate Limiter', 'Easy')]"
363,Max Sum of Rectangle No Larger Than K,Hard,98,1592,70.2K,175.9K,39.9%,"['Array', 'Binary Search', 'Dynamic Programming', 'Matrix', 'Ordered Set']",[]
364,Nested List Weight Sum II,Medium,224,761,84K,129.3K,64.9%,"['Breadth-First Search', 'Depth-First Search', 'Stack']","[('Array Nesting', 'Medium'), ('Nested List Weight Sum', 'Medium')]"
365,Water and Jug Problem,Medium,929,496,50.5K,157.4K,32.1%,"['Breadth-First Search', 'Depth-First Search', 'Math']",[]
366,Find Leaves of Binary Tree,Medium,22,1494,98.1K,133.3K,73.6%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
367,Valid Perfect Square,Easy,196,1383,283.6K,668.8K,42.4%,"['Binary Search', 'Math']","[('Sqrt(x)', 'Easy'), ('Sum of Square Numbers', 'Medium')]"
368,Largest Divisible Subset,Medium,95,2014,115.9K,299.8K,38.7%,"['Array', 'Dynamic Programming', 'Math', 'Sorting']",[]
369,Plus One Linked List,Medium,38,681,60.6K,101.4K,59.7%,"['Linked List', 'Math']","[('Plus One', 'Easy')]"
370,Range Addition,Medium,27,686,34.7K,54.1K,64.0%,"['Array', 'Prefix Sum']","[('Range Addition II', 'Easy')]"
371,Sum of Two Integers,Medium,2891,1819,234.8K,463.7K,50.6%,"['Bit Manipulation', 'Math']","[('Add Two Numbers', 'Medium')]"
372,Super Pow,Medium,929,341,41.9K,113.2K,37.0%,"['Divide and Conquer', 'Math']","[('Pow(x, n)', 'Medium')]"
373,Find K Pairs with Smallest Sums,Medium,142,2148,136.1K,350.2K,38.9%,"['Array', 'Heap (Priority Queue)']","[('Find K-th Smallest Pair Distance', 'Hard'), ('Kth Smallest Element in a Sorted Matrix', 'Medium')]"
374,Guess Number Higher or Lower,Easy,2167,686,210K,458.7K,45.8%,"['Binary Search', 'Interactive']","[('Find K Closest Elements', 'Medium'), ('First Bad Version', 'Easy'), ('Guess Number Higher or Lower II', 'Medium')]"
375,Guess Number Higher or Lower II,Medium,1549,1112,79.1K,183K,43.2%,"['Dynamic Programming', 'Game Theory', 'Math']","[('Can I Win', 'Medium'), ('Find K Closest Elements', 'Medium'), ('Flip Game II', 'Medium'), ('Guess Number Higher or Lower', 'Easy')]"
376,Wiggle Subsequence,Medium,81,1900,108.6K,254.4K,42.7%,"['Array', 'Dynamic Programming', 'Greedy']",[]
377,Combination Sum IV,Medium,274,2453,182K,384.5K,47.3%,"['Array', 'Dynamic Programming']","[('Combination Sum', 'Medium')]"
378,Kth Smallest Element in a Sorted Matrix,Medium,201,4254,300K,519.1K,57.8%,"['Array', 'Binary Search', 'Heap (Priority Queue)', 'Matrix', 'Sorting']","[('Find K Pairs with Smallest Sums', 'Medium'), ('Find K-th Smallest Pair Distance', 'Hard'), ('K-th Smallest Prime Fraction', 'Hard'), ('Kth Smallest Number in Multiplication Table', 'Hard')]"
379,Design Phone Directory,Medium,343,243,47.4K,96.5K,49.1%,"['Array', 'Design', 'Hash Table', 'Linked List', 'Queue']","[('Seat Reservation Manager', 'Medium')]"
382,Linked List Random Node,Medium,242,953,107.8K,197.2K,54.7%,"['Linked List', 'Math', 'Randomized', 'Reservoir Sampling']","[('Random Pick Index', 'Medium')]"
383,Ransom Note,Easy,247,958,271.4K,505.1K,53.7%,"['Counting', 'Hash Table', 'String']","[('Stickers to Spell Word', 'Hard')]"
384,Shuffle an Array,Medium,249,203,181.7K,333.6K,54.5%,"['Array', 'Math', 'Randomized']",[]
385,Mini Parser,Medium,1006,302,43.8K,125.4K,34.9%,"['Depth-First Search', 'Stack', 'String']","[('Flatten Nested List Iterator', 'Medium'), ('Remove Comments', 'Medium'), ('Ternary Expression Parser', 'Medium')]"
386,Lexicographical Numbers,Medium,99,820,68.2K,122.7K,55.6%,"['Depth-First Search', 'Trie']",[]
387,First Unique Character in a String,Easy,153,3193,775.9K,1.4M,54.6%,"['Counting', 'Hash Table', 'Queue', 'String']","[('Sort Characters By Frequency', 'Medium')]"
388,Longest Absolute File Path,Medium,1787,769,106K,242.5K,43.7%,"['Depth-First Search', 'Stack', 'String']",[]
389,Find the Difference,Easy,324,1387,272K,466.4K,58.3%,"['Bit Manipulation', 'Hash Table', 'Sorting', 'String']","[('Single Number', 'Easy')]"
390,Elimination Game,Medium,436,615,40K,87.5K,45.7%,['Math'],[]
391,Perfect Rectangle,Hard,90,494,30.6K,97.4K,31.4%,"['Array', 'Line Sweep']",[]
392,Is Subsequence,Easy,249,2774,317.7K,638K,49.8%,"['Dynamic Programming', 'String', 'Two Pointers']","[('Number of Matching Subsequences', 'Medium'), ('Shortest Way to Form String', 'Medium')]"
393,UTF-8 Validation,Medium,1308,312,59.9K,155.7K,38.5%,"['Array', 'Bit Manipulation']",[]
394,Decode String,Medium,249,5414,347.3K,646.7K,53.7%,"['Recursion', 'Stack', 'String']","[('Brace Expansion', 'Medium'), ('Encode String with Shortest Length', 'Hard'), ('Number of Atoms', 'Hard')]"
395,Longest Substring with At Least K Repeating Characters,Medium,281,2856,128.6K,292.8K,43.9%,"['Divide and Conquer', 'Hash Table', 'Sliding Window', 'String']",[]
396,Rotate Function,Medium,189,580,52.3K,140.6K,37.2%,"['Dynamic Programming', 'Math']",[]
397,Integer Replacement,Medium,376,573,68K,201.5K,33.8%,"['Bit Manipulation', 'Dynamic Programming', 'Memoization']",[]
398,Random Pick Index,Medium,875,698,127.5K,214.1K,59.6%,"['Hash Table', 'Math', 'Randomized', 'Reservoir Sampling']","[('Linked List Random Node', 'Medium'), ('Random Pick with Blacklist', 'Hard'), ('Random Pick with Weight', 'Medium')]"
399,Evaluate Division,Medium,287,3668,193K,349.6K,55.2%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Graph', 'Shortest Path', 'Union Find']",[]
400,Nth Digit,Medium,1280,499,67.6K,207.2K,32.6%,"['Binary Search', 'Math']",[]
401,Binary Watch,Easy,1402,781,98.4K,200.6K,49.1%,"['Backtracking', 'Bit Manipulation']","[('Letter Combinations of a Phone Number', 'Medium'), ('Number of 1 Bits', 'Easy')]"
402,Remove K Digits,Medium,155,3581,187.5K,651.4K,28.8%,"['Greedy', 'Monotonic Stack', 'Stack', 'String']","[('Create Maximum Number', 'Hard'), ('Find the Most Competitive Subsequence', 'Medium'), ('Monotone Increasing Digits', 'Medium')]"
403,Frog Jump,Hard,137,1725,127.2K,302.8K,42.0%,"['Array', 'Dynamic Programming']","[('Minimum Sideway Jumps', 'Medium')]"
404,Sum of Left Leaves,Easy,189,2030,257.4K,488.4K,52.7%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']",[]
405,Convert a Number to Hexadecimal,Easy,140,674,83.6K,186.4K,44.9%,"['Bit Manipulation', 'Math']",[]
406,Queue Reconstruction by Height,Medium,464,4209,200.7K,290.7K,69.0%,"['Array', 'Greedy', 'Sorting']","[('Count of Smaller Numbers After Self', 'Hard')]"
407,Trapping Rain Water II,Hard,43,1986,55.5K,123.1K,45.1%,"['Array', 'Breadth-First Search', 'Heap (Priority Queue)', 'Matrix']","[('Trapping Rain Water', 'Hard')]"
408,Valid Word Abbreviation,Easy,866,206,42.5K,133.6K,31.8%,"['String', 'Two Pointers']","[('Minimum Unique Word Abbreviation', 'Hard'), ('Word Abbreviation', 'Hard')]"
409,Longest Palindrome,Easy,107,1716,209.3K,398.9K,52.5%,"['Greedy', 'Hash Table', 'String']","[('Palindrome Permutation', 'Easy')]"
410,Split Array Largest Sum,Hard,97,2913,129.3K,272.8K,47.4%,"['Array', 'Binary Search', 'Dynamic Programming', 'Greedy']",[]
411,Minimum Unique Word Abbreviation,Hard,133,151,12.3K,32.8K,37.6%,"['Backtracking', 'Bit Manipulation', 'String']","[('Generalized Abbreviation', 'Medium'), ('Valid Word Abbreviation', 'Easy'), ('Word Abbreviation', 'Hard')]"
412,Fizz Buzz,Easy,1651,1455,493.6K,765.7K,64.5%,"['Math', 'Simulation', 'String']","[('Fizz Buzz Multithreaded', 'Medium')]"
413,Arithmetic Slices,Medium,208,1923,137.5K,228.2K,60.3%,"['Array', 'Dynamic Programming']","[('Arithmetic Slices II - Subsequence', 'Hard'), ('Arithmetic Subarrays', 'Medium')]"
414,Third Maximum Number,Easy,1880,1137,244K,792.2K,30.8%,"['Array', 'Sorting']","[('Kth Largest Element in an Array', 'Medium')]"
415,Add Strings,Easy,407,1969,317.6K,643.8K,49.3%,"['Math', 'Simulation', 'String']","[('Add Two Numbers', 'Medium'), ('Add to Array-Form of Integer', 'Easy'), ('Multiply Strings', 'Medium')]"
416,Partition Equal Subset Sum,Medium,94,4808,304.5K,672.3K,45.3%,"['Array', 'Dynamic Programming']","[('Partition to K Equal Sum Subsets', 'Medium')]"
417,Pacific Atlantic Water Flow,Medium,607,2383,131.2K,290.4K,45.2%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix']",[]
418,Sentence Screen Fitting,Medium,304,625,58.8K,172K,34.2%,"['Dynamic Programming', 'String']",[]
419,Battleships in a Board,Medium,641,1036,119.9K,166.9K,71.8%,"['Array', 'Depth-First Search', 'Matrix']",[]
420,Strong Password Checker,Hard,1041,363,19.5K,142.7K,13.6%,"['Greedy', 'Heap (Priority Queue)', 'String']",[]
421,Maximum XOR of Two Numbers in an Array,Medium,223,2251,85.5K,156.3K,54.7%,"['Array', 'Bit Manipulation', 'Hash Table', 'Trie']","[('Maximum XOR With an Element From Array', 'Hard')]"
422,Valid Word Square,Easy,140,237,34.7K,90.4K,38.3%,"['Array', 'Matrix']","[('Toeplitz Matrix', 'Easy'), ('Word Squares', 'Hard')]"
423,Reconstruct Original Digits from English,Medium,1042,354,42.7K,83.5K,51.2%,"['Hash Table', 'Math', 'String']",[]
424,Longest Repeating Character Replacement,Medium,127,2720,124.5K,254K,49.0%,"['Hash Table', 'Sliding Window', 'String']","[('Longest Substring with At Most K Distinct Characters', 'Medium'), ('Max Consecutive Ones III', 'Medium')]"
425,Word Squares,Hard,48,766,50.8K,100.2K,50.7%,"['Array', 'Backtracking', 'String', 'Trie']","[('Valid Word Square', 'Easy')]"
426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,127,1473,130.5K,209.6K,62.3%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Doubly-Linked List', 'Linked List', 'Stack', 'Tree']","[('Binary Tree Inorder Traversal', 'Easy')]"
427,Construct Quad Tree,Medium,521,355,30.2K,47.7K,63.4%,"['Array', 'Divide and Conquer', 'Matrix', 'Tree']",[]
428,Serialize and Deserialize N-ary Tree,Hard,37,667,50.8K,81.2K,62.5%,"['Breadth-First Search', 'Depth-First Search', 'String', 'Tree']","[('Encode N-ary Tree to Binary Tree', 'Hard'), ('Serialize and Deserialize BST', 'Medium'), ('Serialize and Deserialize Binary Tree', 'Hard')]"
429,N-ary Tree Level Order Traversal,Medium,67,1084,111.5K,165.4K,67.4%,"['Breadth-First Search', 'Tree']","[('Binary Tree Level Order Traversal', 'Medium'), ('N-ary Tree Postorder Traversal', 'Easy'), ('N-ary Tree Preorder Traversal', 'Easy')]"
430,Flatten a Multilevel Doubly Linked List,Medium,196,2475,168.2K,294K,57.2%,"['Depth-First Search', 'Doubly-Linked List', 'Linked List']","[('Correct a Binary Tree', 'Medium'), ('Flatten Binary Tree to Linked List', 'Medium')]"
431,Encode N-ary Tree to Binary Tree,Hard,17,314,12.4K,16.4K,75.2%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Design', 'Tree']","[('Serialize and Deserialize N-ary Tree', 'Hard')]"
433,Minimum Genetic Mutation,Medium,77,597,41.1K,93.3K,44.1%,"['Breadth-First Search', 'Hash Table', 'String']","[('Word Ladder', 'Hard')]"
434,Number of Segments in a String,Easy,892,330,97.4K,258K,37.8%,['String'],[]
435,Non-overlapping Intervals,Medium,69,2308,151K,336.8K,44.8%,"['Array', 'Dynamic Programming', 'Greedy', 'Sorting']","[('Minimum Number of Arrows to Burst Balloons', 'Medium')]"
436,Find Right Interval,Medium,204,795,65.7K,134.7K,48.8%,"['Array', 'Binary Search', 'Sorting']","[('Data Stream as Disjoint Intervals', 'Hard')]"
437,Path Sum III,Medium,325,5509,281.2K,578K,48.7%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Longest Univalue Path', 'Medium'), ('Path Sum', 'Easy'), ('Path Sum II', 'Medium'), ('Path Sum IV', 'Medium')]"
438,Find All Anagrams in a String,Medium,207,4494,372.9K,815K,45.8%,"['Hash Table', 'Sliding Window', 'String']","[('Permutation in String', 'Medium'), ('Valid Anagram', 'Easy')]"
439,Ternary Expression Parser,Medium,39,296,22.5K,39.3K,57.2%,"['Recursion', 'Stack', 'String']","[('Mini Parser', 'Medium'), ('Parse Lisp Expression', 'Hard'), ('Remove Comments', 'Medium')]"
440,K-th Smallest in Lexicographical Order,Hard,64,437,15.6K,52K,30.0%,['Trie'],[]
441,Arranging Coins,Easy,815,1051,200.5K,467.1K,42.9%,"['Binary Search', 'Math']",[]
442,Find All Duplicates in an Array,Medium,188,3869,286.1K,410.1K,69.8%,"['Array', 'Hash Table']","[('Find All Numbers Disappeared in an Array', 'Easy')]"
443,String Compression,Medium,3442,1413,182.8K,405.1K,45.1%,"['String', 'Two Pointers']","[('Count and Say', 'Medium'), ('Decompress Run-Length Encoded List', 'Easy'), ('Design Compressed String Iterator', 'Easy'), ('Encode and Decode Strings', 'Medium')]"
444,Sequence Reconstruction,Medium,1259,385,38.5K,161.4K,23.9%,"['Array', 'Graph', 'Topological Sort']","[('Course Schedule II', 'Medium')]"
445,Add Two Numbers II,Medium,203,2555,251.2K,440.1K,57.1%,"['Linked List', 'Math', 'Stack']","[('Add Two Numbers', 'Medium'), ('Add Two Polynomials Represented as Linked Lists', 'Medium')]"
446,Arithmetic Slices II - Subsequence,Hard,73,760,26.5K,77.4K,34.2%,"['Array', 'Dynamic Programming']","[('Arithmetic Slices', 'Medium')]"
447,Number of Boomerangs,Medium,779,485,74.9K,142.1K,52.7%,"['Array', 'Hash Table', 'Math']","[('Line Reflection', 'Medium')]"
448,Find All Numbers Disappeared in an Array,Easy,312,4470,398.7K,703.9K,56.6%,"['Array', 'Hash Table']","[('Find All Duplicates in an Array', 'Medium'), ('First Missing Positive', 'Hard')]"
449,Serialize and Deserialize BST,Medium,99,2078,159.9K,291.6K,54.8%,"['Binary Search Tree', 'Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Design', 'String', 'Tree']","[('Find Duplicate Subtrees', 'Medium'), ('Serialize and Deserialize Binary Tree', 'Hard'), ('Serialize and Deserialize N-ary Tree', 'Hard')]"
450,Delete Node in a BST,Medium,114,3273,182.6K,396K,46.1%,"['Binary Search Tree', 'Binary Tree', 'Tree']","[('Split BST', 'Medium')]"
451,Sort Characters By Frequency,Medium,155,2597,267.4K,410K,65.2%,"['Bucket Sort', 'Counting', 'Hash Table', 'Heap (Priority Queue)', 'Sorting', 'String']","[('First Unique Character in a String', 'Easy'), ('Sort Array by Increasing Frequency', 'Easy'), ('Top K Frequent Elements', 'Medium')]"
452,Minimum Number of Arrows to Burst Balloons,Medium,66,1912,120K,239.2K,50.2%,"['Array', 'Greedy', 'Sorting']","[('Meeting Rooms II', 'Medium'), ('Non-overlapping Intervals', 'Medium')]"
453,Minimum Moves to Equal Array Elements,Easy,1287,946,97.9K,189.3K,51.7%,"['Array', 'Math']","[('Minimum Moves to Equal Array Elements II', 'Medium')]"
454,4Sum II,Medium,85,2148,173.7K,315.7K,55.0%,"['Array', 'Hash Table']","[('4Sum', 'Medium')]"
455,Assign Cookies,Easy,130,933,128.8K,255.4K,50.4%,"['Array', 'Greedy', 'Sorting']",[]
456,132 Pattern,Medium,150,2465,91.7K,299K,30.7%,"['Array', 'Binary Search', 'Monotonic Stack', 'Ordered Set', 'Stack']",[]
457,Circular Array Loop,Medium,112,132,48.5K,158.5K,30.6%,"['Array', 'Hash Table', 'Two Pointers']",[]
458,Poor Pigs,Hard,1055,559,31.4K,57.3K,54.8%,"['Combinatorics', 'Dynamic Programming', 'Math']",[]
459,Repeated Substring Pattern,Easy,255,2576,200.7K,462.4K,43.4%,"['String', 'String Matching']","[('Implement strStr()', 'Easy'), ('Repeated String Match', 'Medium')]"
